Wide_Bay,AUVA,1.1
Wide_Bay,IMO,2.19
Wright,LNP,43.19
Wright,UAP,8.22
Wright,One,14.25
Wright,CYA,1.54
Wright,ALP,21.37
Wright,Grn,11.43
Adelaide,Lib,32
Adelaide,ALP,39.98
Adelaide,UAP,2.71
Adelaide,SOPA,1.45
Adelaide,Grn,20.1
Adelaide,CYA,0.77
Adelaide,One,2.99
Barker,Nat,2.39
Barker,One,6.58
Barker,Ind,1.81
Barker,Ind,3.02
Barker,Grn,7.41
Barker,Lib,53.24
Barker,UAP,3.99
Barker,ALP,20.85
Barker,CYA,0.72
Boothby,Grn,15.2
Boothby,UAP,2.22
Boothby,CYA,0.48
Boothby,LDP,1.1
Boothby,Ind,0.92
Boothby,AJP,1.19
Boothby,Lib,37.99
Boothby,Ind,6.54
Boothby,ALP,32.32
Boothby,One,2.04
Grey,Grn,6.78
Grey,UAP,5.61
Grey,LDP,1.38
Grey,Ind,11.26
Grey,ALP,21.4
Grey,One,6.26
Grey,CYA,0.7
Grey,Ind,1.29
Grey,Lib,45.32
Hindmarsh,Grn,13.87
Hindmarsh,Lib,32.69
Hindmarsh,One,3.93
Hindmarsh,ALP,42.18
Hindmarsh,CYA,0.59
Hindmarsh,UAP,3.53
Hindmarsh,GAP,1.07
Hindmarsh,AJP,2.12
Kingston,Ind,2.71
Kingston,One,4.86
Kingston,UAP,3.95
Kingston,ALP,49.2
Kingston,Grn,12.44
Kingston,CYA,0.99
Kingston,Lib,25.85
Makin,CYA,1.77
Makin,ALP,46.3
Makin,UAP,4.31
Makin,One,4.74
Makin,Lib,31.44
Makin,Grn,11.44
Mayo,ALP,18.11
Mayo,AJP,1.66
Mayo,LDP,1.23
Mayo,CAl,31.41
Mayo,Grn,11.79
Mayo,Lib,27.03
Mayo,UAP,3.52
Mayo,One,4.11
Mayo,CYA,1.14
Spence,UAP,6.74
Spence,ALP,43.86
Spence,Grn,11.35
Spence,CYA,1.63
Spence,Lib,25.56
Spence,One,10.86
Sturt,Grn,16.39
Sturt,ALP,30.66
Sturt,TNL,0.22
