,,,,,,,,,,
StateAb,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,CalculationType,CalculationValue
ACT,Canberra,3,5,36241,HOLLO,Tim,GRN,The Greens,Preference Percent,27.54
ACT,Canberra,3,5,36241,HOLLO,Tim,GRN,The Greens,Transfer Count,2393
ACT,Canberra,3,5,36241,HOLLO,Tim,GRN,The Greens,Transfer Percent,38.13
ACT,Canberra,3,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Preference Count,43509
ACT,Canberra,3,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Preference Percent,47.13
ACT,Canberra,3,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Transfer Count,1743
ACT,Canberra,3,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Transfer Percent,27.77
ACT,Canberra,4,1,36238,SMITH,Catherine,UAPP,United Australia Party,Preference Count,0
ACT,Canberra,4,1,36238,SMITH,Catherine,UAPP,United Australia Party,Preference Percent,0
ACT,Canberra,4,1,36238,SMITH,Catherine,UAPP,United Australia Party,Transfer Count,0
ACT,Canberra,4,1,36238,SMITH,Catherine,UAPP,United Australia Party,Transfer Percent,0
ACT,Canberra,4,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Preference Count,0
ACT,Canberra,4,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Preference Percent,0
ACT,Canberra,4,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Transfer Count,0
ACT,Canberra,4,2,37456,MILES,James,ON,Pauline Hanson's One Nation,Transfer Percent,0
ACT,Canberra,4,3,32830,BOHM,Tim,IND,Independent,Preference Count,0
ACT,Canberra,4,3,32830,BOHM,Tim,IND,Independent,Preference Percent,0
ACT,Canberra,4,3,32830,BOHM,Tim,IND,Independent,Transfer Count,0
ACT,Canberra,4,3,32830,BOHM,Tim,IND,Independent,Transfer Percent,0
ACT,Canberra,4,4,37211,MINSON,Slade,LP,Liberal,Preference Count,0
ACT,Canberra,4,4,37211,MINSON,Slade,LP,Liberal,Preference Percent,0
ACT,Canberra,4,4,37211,MINSON,Slade,LP,Liberal,Transfer Count,-23390
ACT,Canberra,4,4,37211,MINSON,Slade,LP,Liberal,Transfer Percent,-100
ACT,Canberra,4,5,36241,HOLLO,Tim,GRN,The Greens,Preference Count,34901
ACT,Canberra,4,5,36241,HOLLO,Tim,GRN,The Greens,Preference Percent,37.8
ACT,Canberra,4,5,36241,HOLLO,Tim,GRN,The Greens,Transfer Count,9478
ACT,Canberra,4,5,36241,HOLLO,Tim,GRN,The Greens,Transfer Percent,40.52
ACT,Canberra,4,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Preference Count,57421
ACT,Canberra,4,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Preference Percent,62.2
ACT,Canberra,4,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Transfer Count,13912
ACT,Canberra,4,6,36228,PAYNE,Alicia,ALP,Australian Labor Party,Transfer Percent,59.48
ACT,Fenner,0,1,36234,LEIGH,Andrew,ALP,Australian Labor Party,Preference Count,44100
ACT,Fenner,0,1,36234,LEIGH,Andrew,ALP,Australian Labor Party,Preference Percent,48.31
ACT,Fenner,0,1,36234,LEIGH,Andrew,ALP,Australian Labor Party,Transfer Count,0
ACT,Fenner,0,1,36234,LEIGH,Andrew,ALP,Australian Labor Party,Transfer Percent,0
ACT,Fenner,0,2,37203,KUSTER,Nathan,LP,Liberal,Preference Count,25416
ACT,Fenner,0,2,37203,KUSTER,Nathan,LP,Liberal,Preference Percent,27.84
ACT,Fenner,0,2,37203,KUSTER,Nathan,LP,Liberal,Transfer Count,0
ACT,Fenner,0,2,37203,KUSTER,Nathan,LP,Liberal,Transfer Percent,0
ACT,Fenner,0,3,36237,ELTON,Timothy Peter,UAPP,United Australia Party,Preference Count,2346
ACT,Fenner,0,3,36237,ELTON,Timothy Peter,UAPP,United Australia Party,Preference Percent,2.57
ACT,Fenner,0,3,36237,ELTON,Timothy Peter,UAPP,United Australia Party,Transfer Count,0
ACT,Fenner,0,3,36237,ELTON,Timothy Peter,UAPP,United Australia Party,Transfer Percent,0
ACT,Fenner,0,4,37458,GRANT,Lucia,ON,Pauline Hanson's One Nation,Preference Count,2419
ACT,Fenner,0,4,37458,GRANT,Lucia,ON,Pauline Hanson's One Nation,Preference Percent,2.65
ACT,Fenner,0,4,37458,GRANT,Lucia,ON,Pauline Hanson's One Nation,Transfer Count,0
ACT,Fenner,0,4,37458,GRANT,Lucia,ON,Pauline Hanson's One Nation,Transfer Percent,0
ACT,Fenner,0,5,36242,SOJIC,Natasa,GRN,The Greens,Preference Count,15294
ACT,Fenner,0,5,36242,SOJIC,Natasa,GRN,The Greens,Preference Percent,16.75
ACT,Fenner,0,5,36242,SOJIC,Natasa,GRN,The Greens,Transfer Count,0
ACT,Fenner,0,5,36242,SOJIC,Natasa,GRN,The Greens,Transfer Percent,0
ACT,Fenner,0,6,37599,JAKEMAN,Guy,LDP,Liberal Democrats,Preference Count,1706
ACT,Fenner,0,6,37599,JAKEMAN,Guy,LDP,Liberal Democrats,Preference Percent,1.87
ACT,Fenner,0,6,37599,JAKEMAN,Guy,LDP,Liberal Democrats,Transfer Count,0
ACT,Fenner,0,6,37599,JAKEMAN,Guy,LDP,Liberal Democrats,Transfer Percent,0
ACT,Fenner,1,1,36234,LEIGH,Andrew,ALP,Australian Labor Party,Preference Count,44355
ACT,Fenner,1,1,36234,LEIGH,Andrew,ALP,Australian Labor Party,Preference Percent,48.59
ACT,Fenner,1,1,36234,LEIGH,Andrew,ALP,Australian Labor Party,Transfer Count,255
