Eliminated Party,Pref to,Number
IND,GRN,278
ON,LNP,927
ON,ON,1436
ON,ALP,551
ON,GRN,943
GRN,LNP,4707
GRN,ALP,1726
GRN,GRN,2156
IND,IND,311
IND,ALP,284
IND,UAPP,429
IND,ON,450
IND,LNP,1112
IND,GRN,406
UAPP,ALP,1489
UAPP,UAPP,776
UAPP,ON,864
UAPP,LNP,543
UAPP,GRN,1046
GRN,ALP,932
GRN,ON,5230
GRN,LNP,1237
GRN,GRN,820
ON,ALP,8853
ON,ON,2178
ON,LNP,2594
GAP,LNP,40
GAP,IMO,24
GAP,AJP,45
GAP,IND,348
GAP,GRN,95
GAP,UAPP,38
GAP,ALP,57
GAP,GAP,32
GAP,ON,54
IND,LNP,56
IND,IMO,443
IND,AJP,53
IND,IND,104
IND,GRN,54
IND,UAPP,199
IND,ALP,53
IND,ON,389
AJP,LNP,204
AJP,IMO,359
AJP,AJP,376
AJP,GRN,289
AJP,UAPP,180
AJP,ALP,191
AJP,ON,276
IMO,LNP,285
IMO,IMO,748
IMO,GRN,964
IMO,UAPP,172
IMO,ALP,261
IMO,ON,226
UAPP,LNP,294
UAPP,GRN,727
UAPP,UAPP,967
UAPP,ALP,173
UAPP,ON,1410
ON,LNP,1013
ON,GRN,652
ON,ALP,502
ON,ON,5521
GRN,LNP,7674
GRN,GRN,4333
GRN,ALP,2667
UAPP,ON,471
UAPP,ALP,311
UAPP,LNP,301
UAPP,GRN,1324
UAPP,UAPP,323
ON,ON,5279
ON,ALP,462
ON,LNP,1000
ON,GRN,937
GRN,ALP,3009
GRN,LNP,8240
GRN,GRN,4603
GRN,ALP,153
GRN,GRN,130
GRN,ON,842
GRN,IND,397
GRN,UAPP,407
GRN,LNP,83
IND,ALP,2420
IND,ON,436
IND,IND,809
IND,UAPP,202
IND,LNP,270
UAPP,ALP,1283
UAPP,ON,1592
UAPP,UAPP,1346
UAPP,LNP,730
ON,ALP,963
ON,ON,5857
ON,LNP,1401
AJP,UAPP,63
AJP,LNP,77
AJP,GRN,170
AJP,ALP,104
AJP,ON,66
AJP,LDP,46
AJP,IND,154
AJP,AJP,48
LDP,UAPP,230
LDP,LNP,150
LDP,GRN,626
LDP,ALP,236
LDP,ON,287
LDP,LDP,101
LDP,IND,862
IND,UAPP,712
IND,LNP,765
IND,GRN,174
IND,ALP,274
IND,ON,509
IND,IND,381
UAPP,UAPP,711
UAPP,LNP,534
UAPP,GRN,1045
UAPP,ALP,728
UAPP,ON,1352
GRN,LNP,2582
GRN,GRN,1226
GRN,ALP,791
GRN,ON,4602
ON,LNP,2490
ON,ALP,7852
ON,ON,2218
ON,ON,1547
ON,GRN,359
ON,ALP,201
ON,LNP,474
ALP,GRN,1538
ALP,ALP,618
ALP,LNP,2895
UAPP,ON,680
UAPP,GRN,159
UAPP,UAPP,262
UAPP,IND,133
UAPP,IND,120
UAPP,LNP,100
UAPP,ALP,85
GRN,ON,3116
GRN,GRN,275
GRN,IND,577
GRN,IND,370
GRN,LNP,574
GRN,ALP,272
IND,ON,682
IND,IND,1218
IND,IND,1364
IND,LNP,408
IND,ALP,2378
ON,ON,706
