ID1,ID2,Number
AJP,ON,196
UAPP,GRN,581
UAPP,ALP,211
UAPP,LNP,528
UAPP,ON,1471
ON,GRN,1257
ON,ALP,577
ON,LNP,2676
IMO,ON,272
IMO,GRN,141
IMO,ALP,78
IMO,LDP,55
IMO,IND,195
IMO,UAPP,57
IMO,LNP,52
IMO,GAP,276
LDP,ON,302
LDP,GRN,85
LDP,ALP,158
LDP,IND,200
LDP,UAPP,197
LDP,LNP,424
LDP,GAP,81
GAP,ON,635
GAP,GRN,83
GAP,ALP,73
GAP,IND,425
GAP,UAPP,691
GAP,LNP,197
IND,ON,1156
IND,GRN,575
IND,ALP,704
IND,UAPP,844
IND,LNP,589
UAPP,ON,3445
UAPP,GRN,408
UAPP,ALP,531
UAPP,LNP,960
GRN,ON,1408
GRN,ALP,4204
GRN,LNP,982
GAP,LNP,161
GAP,ON,473
GAP,ALP,216
GAP,UAPP,463
GAP,KAP,505
GAP,GRN,130
UAPP,LNP,512
UAPP,ON,1799
UAPP,ALP,363
UAPP,KAP,1226
UAPP,GRN,276
KAP,LNP,1274
KAP,ON,3953
KAP,ALP,942
KAP,GRN,751
GRN,LNP,1248
GRN,ON,1498
GRN,ALP,5086
LDP,IND,198
LDP,LNP,424
LDP,IND,75
LDP,ON,237
LDP,UAPP,126
LDP,ALP,90
LDP,GRN,86
IND,IND,897
IND,LNP,146
IND,ON,155
IND,UAPP,84
IND,ALP,203
IND,GRN,208
UAPP,IND,540
UAPP,LNP,363
UAPP,ON,1449
UAPP,ALP,297
UAPP,GRN,278
IND,LNP,927
IND,ON,1436
IND,ALP,551
IND,GRN,943
ON,LNP,4707
ON,ALP,1726
ON,GRN,2156
LDP,IND,311
LDP,ALP,284
LDP,UAPP,429
LDP,ON,450
LDP,LNP,1112
LDP,GRN,406
IND,ALP,1489
IND,UAPP,776
IND,ON,864
IND,LNP,543
IND,GRN,1046
UAPP,ALP,932
UAPP,ON,5230
UAPP,LNP,1237
UAPP,GRN,820
